year,mountain,victims,feature
1640年（寛永17年）,北海道駒ヶ岳,700余,山体崩壊、岩屑なだれ、津波、多量の降灰、火砕流
1663年（寛文3年）,有珠山,5,近辺の家屋は消失又は埋没
1663年（寛文3年）,雲仙岳,30余,溶岩流、火口よりの出水が氾濫
1667年（寛文7年）,樽前山,-,火砕流、多量の降灰・軽石
1694年（元禄7年）,北海道駒ヶ岳,-,地震・火山雷を伴う噴火、軽石降下、火砕流発生
1707年（宝永4年）,富士山,-,「宝永噴火」、多量の降灰、終息後の土砂災害
1721年（享保6年）,浅間山,15,噴石
1739年（元文4年）,樽前山,-,火砕流、多量の降灰・軽石
1741年（寛保元年）,渡島大島,1467,山体崩壊、岩屑なだれによる大津波発生
1769年（明和5年）,有珠山,-,大量の降灰・軽石、火砕流
1777年（安永6年）,伊豆大島,-,「安永の大噴火」、溶岩流、スコリア降下
1779年（安永8年）,桜島,150余,「安永の大噴火」、噴石、溶岩流
1781年（天明元年）,桜島,15,高免沖の島で噴火、津波
1783年（天明3年）,浅間山,1151,「天明大噴火」、火砕流、溶岩流、土石なだれ、吾妻川、利根川の洪水
1785年（天明5年）,青ヶ島,130～140,噴石、泥土、島民の1/3以上が犠牲。以後50年余無人島
1792年（寛政4年）,雲仙岳,"15,000",「島原大変肥後迷惑」、眉山の崩壊による対岸の津波
1822年（文政5年）,有珠山,50～103,火砕流、旧アブタ集落全滅
1853年（嘉永6年）,有珠山,-,多量の火山灰・軽石、溶岩ドーム形成、火砕流
1856年（安政3年）,北海道駒ヶ岳,21～29,降下軽石、火砕流
1888年（明治21年）,磐梯山,461～477,岩屑なだれによる5村11部落が埋没、土石流（火山泥流）
1900年（明治33年）,安達太良山,72,噴石、火口の硫黄採掘所全壊
1902年（明治35年）,伊豆鳥島,125,全島民が犠牲
1914年（大正3年）,桜島,58,「大正大噴火」、火山雷、溶岩流、地震、空振、村落埋没、多量の降灰
1926年（大正15年）,十勝岳,144,大規模火山泥流、上富良野、美瑛埋没
1929年（昭和4年）,北海道駒ヶ岳,2,多量の降灰・軽石、火砕流、火山ガス被害
1940年（昭和15年）,三宅島,11,多量の火山灰・火山弾、溶岩流
1943～45年（昭和18～20年）,有珠山,-,多量の火山灰、噴石、昭和新山形成
1952年（昭和27年）,ベヨネース列岩（明神礁）,31,火砕サージ
1958年（昭和33年）,阿蘇山,12,噴石
1991年（平成3年）,雲仙岳,43,火砕流、土石流
2014年（平成26年）,御嶽山,63,噴石
